Designator,Mid X,Mid Y,Layer,Rotation
"3.3V","151.9719mm","-2.6567mm","Top",180
"ACTIVITY","151.9719mm","-4.165mm","Top",180
"C1","136.0181mm","-19.8366mm","Top",270
"C2","139.3331mm","-19.8228mm","Top",270
"C3","137.6505mm","-19.8366mm","Top",270
"C4","141.7522mm","-17.1551mm","Top",90
"D1","139.3332mm","-13.3992mm","Top",90
"FLASH","127.4697mm","-2.7512mm","Top",180
"J1","144.7225mm","-5.1574mm","Top",180
"LED1","14.4597mm","-11.4166mm","Top",278
"LED2","15.6654mm","-19.2074mm","Top",278
"LED3","16.8711mm","-26.9982mm","Top",278
"LED4","18.0768mm","-34.789mm","Top",278
"LED5","19.2824mm","-42.5798mm","Top",278
"LED6","20.4881mm","-50.3706mm","Top",278
"LED7","21.6938mm","-58.1614mm","Top",278
"LED8","22.8995mm","-65.9522mm","Top",278
"LED9","22.8995mm","-74.4873mm","Top",262
"LED10","21.7536mm","-82.2726mm","Top",262
"LED11","20.6077mm","-90.0578mm","Top",262
"LED12","19.4618mm","-97.8431mm","Top",262
"LED13","18.316mm","-105.6284mm","Top",262
"LED14","17.1701mm","-113.4137mm","Top",262
"LED15","16.0242mm","-121.1989mm","Top",262
"LED16","14.8783mm","-128.9842mm","Top",262
"R1","143.0975mm","-11.2049mm","Top",270
"R2","145.9725mm","-11.2049mm","Top",270
"R3","152.0248mm","-8.1757mm","Top",0
"R4","152.0248mm","-9.8107mm","Top",0
"R5","152.0248mm","-6.5494mm","Top",0
"RESET","120.3992mm","-2.7512mm","Top",180
"U1","159.9316mm","-33.7056mm","Top",0
"U2","129.6781mm","-32.9056mm","Top",270
"USBPOWER","151.9719mm","-1.1483mm","Top",180
"WHEEL1","165.4316mm","-11.2049mm","Top",90
"WHEEL2","32.9073mm","-11.2049mm","Top",90
"WHEEL3","32.9073mm","-129.1721mm","Top",270
"WHEEL4","165.4316mm","-129.1721mm","Top",270
