Designator,Mid X,Mid Y,Layer,Rotation
"LED1","14.4597mm","-11.4166mm","Top",278
"LED2","15.6654mm","-19.2074mm","Top",278
"LED3","16.8711mm","-26.9982mm","Top",278
"LED4","18.0768mm","-34.789mm","Top",278
"LED5","19.2824mm","-42.5798mm","Top",278
"LED6","20.4881mm","-50.3706mm","Top",278
"LED7","21.6938mm","-58.1614mm","Top",278
"LED8","22.8995mm","-65.9522mm","Top",278
"LED9","22.8995mm","-74.4873mm","Top",262
"LED10","21.7536mm","-82.2726mm","Top",262
"LED11","20.6077mm","-90.0578mm","Top",262
"LED12","19.4618mm","-97.8431mm","Top",262
"LED13","18.316mm","-105.6284mm","Top",262
"LED14","17.1701mm","-113.4137mm","Top",262
"LED15","16.0242mm","-121.1989mm","Top",262
"LED16","14.8783mm","-128.9842mm","Top",262
"U1","145.7586mm","-44.2032mm","Top",0
"WHEEL1","91.429mm","-5.3721mm","Top",0
"WHEEL2","47.429mm","-5.3721mm","Top",180
"WHEEL3","47.429mm","-135.3721mm","Top",180
"WHEEL4","91.429mm","-135.3721mm","Top",0
